,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,556.0,36.25,111.0,21.75,40.25,311296.0,6.5,27.625,24.625,17.25,26.125,331776.0,18.5,16.0,18.75,14.4375,50.75,62976.0
2,540.0,406.0,344.0,112.0,149.0,409600.0,15.5,21.875,87.0,58.75,161.0,301056.0,137.0,89.0,112.5,119.5,236.0,60928.0
3,520.0,498.0,376.0,129.0,176.0,499712.0,18.25,42.25,100.0,90.5,165.0,458752.0,240.0,119.0,188.0,232.0,396.0,97280.0
4,480.0,588.0,494.0,164.0,290.0,622592.0,29.5,47.5,138.0,90.0,260.0,577536.0,312.0,199.0,244.0,239.0,456.0,131072.0
5,640.0,720.0,636.0,209.0,352.0,765952.0,33.75,52.25,190.0,110.5,342.0,704512.0,356.0,218.0,258.0,322.0,544.0,164864.0
6,816.0,844.0,864.0,251.0,392.0,950272.0,36.5,74.0,202.0,147.0,364.0,847872.0,442.0,251.0,342.0,496.0,700.0,200704.0
7,796.0,1120.0,1024.0,274.0,492.0,1089536.0,45.75,73.0,250.0,156.0,492.0,970752.0,474.0,316.0,376.0,540.0,744.0,235520.0
8,932.0,1200.0,1136.0,340.0,532.0,1236992.0,51.25,78.0,306.0,183.0,544.0,1105920.0,532.0,312.0,446.0,624.0,804.0,270336.0
9,1088.0,1224.0,1360.0,376.0,608.0,1409024.0,55.5,87.0,340.0,206.0,636.0,1228800.0,632.0,328.0,502.0,640.0,860.0,305152.0
10,1216.0,1280.0,1536.0,412.0,776.0,1572864.0,62.0,95.0,370.0,230.0,744.0,1368064.0,712.0,396.0,592.0,724.0,932.0,339968.0
11,1368.0,1416.0,1712.0,470.0,860.0,1744896.0,67.5,106.0,402.0,250.0,812.0,1507328.0,760.0,440.0,608.0,760.0,1024.0,374784.0
12,1528.0,1648.0,1920.0,536.0,1008.0,1916928.0,76.5,120.0,452.0,268.0,900.0,1638400.0,820.0,498.0,652.0,824.0,1080.0,411648.0
13,1672.0,1768.0,2144.0,572.0,1088.0,2088960.0,82.0,130.0,498.0,298.0,972.0,1777664.0,896.0,492.0,668.0,876.0,1176.0,446464.0
14,1744.0,1880.0,2352.0,616.0,1208.0,2260992.0,90.0,142.0,556.0,312.0,1056.0,1916928.0,952.0,540.0,704.0,956.0,1248.0,481280.0
15,1912.0,2032.0,2528.0,668.0,1296.0,2441216.0,96.5,155.0,588.0,334.0,1136.0,2064384.0,1024.0,548.0,780.0,1040.0,1344.0,518144.0
16,1896.0,2144.0,2672.0,672.0,1312.0,2637824.0,101.5,152.0,596.0,366.0,1136.0,2211840.0,1112.0,604.0,868.0,1176.0,1504.0,552960.0
17,1848.0,2080.0,2464.0,684.0,1208.0,2818048.0,95.0,146.0,560.0,384.0,1248.0,2342912.0,1392.0,640.0,916.0,1240.0,1584.0,589824.0
18,2008.0,2464.0,2704.0,716.0,1264.0,2998272.0,104.5,161.0,620.0,404.0,1352.0,2490368.0,1464.0,668.0,964.0,1296.0,1688.0,626688.0
19,2144.0,2528.0,2864.0,756.0,1424.0,3178496.0,112.0,176.0,660.0,430.0,1456.0,2621440.0,1528.0,736.0,1048.0,1416.0,1760.0,663552.0
20,2336.0,2736.0,2992.0,796.0,1504.0,3375104.0,119.5,197.0,704.0,450.0,1528.0,2768896.0,1544.0,760.0,1072.0,1480.0,1840.0,700416.0
21,2368.0,2848.0,3168.0,936.0,1632.0,3571712.0,124.0,206.0,724.0,454.0,1632.0,2916352.0,1616.0,788.0,1144.0,1520.0,1920.0,737280.0
22,2576.0,2928.0,3440.0,1024.0,1640.0,3751936.0,125.5,215.0,772.0,464.0,1672.0,3063808.0,1632.0,788.0,1224.0,1536.0,2008.0,774144.0
23,2720.0,3136.0,3696.0,1064.0,1704.0,3932160.0,137.0,225.0,844.0,476.0,1760.0,3211264.0,1680.0,824.0,1296.0,1584.0,2096.0,806912.0
24,2800.0,3216.0,3904.0,1128.0,1808.0,4112384.0,144.0,241.0,876.0,494.0,1848.0,3358720.0,1768.0,864.0,1344.0,1616.0,2176.0,843776.0
25,2864.0,3264.0,4016.0,1200.0,1976.0,4292608.0,148.0,254.0,900.0,508.0,1936.0,3506176.0,1880.0,900.0,1400.0,1688.0,2272.0,880640.0
26,3024.0,3408.0,4256.0,1232.0,2048.0,4456448.0,153.0,266.0,952.0,540.0,2000.0,3653632.0,1952.0,912.0,1416.0,1752.0,2368.0,917504.0
27,3152.0,3504.0,4512.0,1272.0,2080.0,4653056.0,163.0,280.0,1020.0,556.0,2048.0,3801088.0,1944.0,936.0,1480.0,1744.0,2432.0,950272.0
28,3136.0,3552.0,4608.0,1256.0,2096.0,4849664.0,169.0,278.0,1032.0,592.0,2048.0,3948544.0,2000.0,972.0,1584.0,1888.0,2608.0,987136.0
29,3104.0,3584.0,4736.0,1248.0,2144.0,5013504.0,173.0,274.0,1048.0,620.0,2048.0,4079616.0,2048.0,1024.0,1672.0,2064.0,2720.0,1024000.0
30,3216.0,3728.0,5056.0,1296.0,2192.0,5177344.0,184.0,294.0,1128.0,628.0,2096.0,4227072.0,2160.0,1040.0,1712.0,2112.0,2816.0,1056768.0
31,3392.0,3824.0,5248.0,1312.0,2256.0,5341184.0,191.0,308.0,1176.0,640.0,2160.0,4358144.0,2176.0,1080.0,1760.0,2192.0,2944.0,1089536.0
32,3520.0,3872.0,5408.0,1344.0,2320.0,5505024.0,201.0,312.0,1256.0,652.0,2240.0,4489216.0,2176.0,1136.0,1816.0,2224.0,2976.0,1122304.0
33,3488.0,3920.0,5472.0,1320.0,2320.0,5668864.0,206.0,306.0,1264.0,688.0,2240.0,4620288.0,2240.0,1184.0,1904.0,2400.0,3120.0,1155072.0
34,3728.0,4080.0,5696.0,1368.0,2400.0,5832704.0,213.0,320.0,1312.0,712.0,2320.0,4751360.0,2320.0,1280.0,1960.0,2560.0,3184.0,1187840.0
