,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,9.75,8.4375,24.375,7.46875,19.125,55611.9609375,6.03125,10.4375,11.875,11.4375,15.125,70214.5625,25.5,7.09375,12.875,13.0625,14.5625,19090.40625
2,10.328125,14.3125,66.375,16.07421875,42.75,123794.9375,9.03125,15.78125,17.125,15.875,28.875,137309.75,50.75,16.30078125,19.90625,30.84375,30.1875,37432.90625
3,13.84375,21.1875,123.875,26.32421875,62.875,189641.21875,13.8125,21.9375,20.0,18.03125,32.40625,209176.25,64.875,30.30078125,35.65625,50.84375,42.5625,56481.71875
4,20.53125,26.34375,166.375,38.13671875,81.125,239041.65625,19.5625,26.9375,27.875,26.90625,46.96875,284418.25,89.625,45.36328125,50.90625,72.59375,52.625,76080.4375
5,20.90625,32.71875,206.375,51.38671875,104.375,296145.28125,23.53125,31.5625,35.6875,32.78125,60.65625,360675.625,115.125,61.48828125,68.53125,101.84375,66.3125,95465.1875
6,24.3125,39.0625,264.625,60.44921875,124.5078125,363119.90625,28.203125,37.0625,41.6875,35.03125,65.25,438071.0,128.375,76.17578125,83.96875,126.09375,77.9375,114786.34375
7,29.9375,44.46875,309.625,72.32421875,151.5078125,416033.84375,34.078125,42.625,48.28125,42.71875,81.25,514066.25,151.125,91.48828125,98.53125,149.84375,86.625,134156.03125
8,35.15625,49.65625,360.875,84.76171875,174.6328125,473567.96875,39.734375,47.03125,56.375,49.625,94.3125,589973.75,175.0,108.73828125,115.40625,174.59375,100.1875,153493.90625
9,37.84375,54.65625,409.625,95.32421875,201.3828125,537303.5,44.640625,51.625,64.03125,57.0,108.125,662602.875,197.75,122.17578125,131.90625,202.59375,115.6875,172648.40625
10,41.671875,59.46875,461.375,106.13671875,230.0078125,597027.125,49.828125,56.78125,70.40625,64.96875,122.4375,734061.375,220.25,139.17578125,148.28125,233.84375,128.4375,191760.40625
11,43.953125,65.1875,506.875,119.51171875,256.6328125,658473.875,54.546875,62.640625,78.46875,72.46875,135.875,806450.375,242.125,154.23828125,164.53125,260.21875,142.6875,210936.78125
12,50.796875,70.21875,558.875,134.63671875,286.6328125,720027.25,59.890625,68.984375,85.40625,79.59375,152.625,871273.875,264.25,168.98828125,179.84375,294.21875,152.8125,230189.09375
13,53.546875,75.6875,604.625,146.07421875,314.7578125,782215.375,65.109375,74.734375,93.125,87.5,166.6875,936844.875,289.625,184.05078125,197.46875,314.71875,165.6875,249359.53125
14,60.984375,81.0625,662.875,159.32421875,338.2578125,844935.25,69.921875,79.421875,100.125,95.40625,181.875,1002313.75,313.125,200.42578125,210.78125,344.21875,173.375,268482.4375
15,63.765625,87.34375,706.125,170.01171875,366.3828125,908119.25,74.296875,84.921875,107.53125,102.78125,196.25,1070217.0,336.125,214.55078125,227.53125,376.21875,189.1875,287796.46875
16,67.390625,94.28125,769.375,179.44921875,388.6328125,974925.125,80.859375,90.765625,113.8125,108.09375,200.625,1140592.875,348.0,228.05078125,241.65625,403.34375,200.6875,307235.75
17,72.953125,100.40625,819.625,187.69921875,406.5078125,1038788.25,85.078125,98.265625,121.5625,114.625,213.375,1210557.75,363.25,244.67578125,253.53125,434.46875,215.375,326573.78125
18,77.328125,105.03125,857.375,200.32421875,433.1328125,1103578.375,89.453125,103.265625,131.125,122.625,230.375,1280873.125,385.25,259.92578125,266.59375,457.46875,231.125,346216.6875
19,81.15625,109.84375,909.625,211.13671875,462.0078125,1170683.125,94.640625,109.859375,137.46875,130.46875,244.375,1349845.625,408.125,277.05078125,282.59375,487.84375,243.5,365948.28125
20,82.8515625,115.46875,948.875,222.82421875,488.8828125,1238169.375,100.015625,118.484375,145.96875,138.375,257.25,1419504.25,430.75,291.61328125,298.59375,512.09375,254.75,385536.34375
21,89.1328125,121.3125,1011.875,237.51171875,514.2578125,1305910.0,105.640625,125.734375,152.4375,146.5,273.125,1488971.375,453.0,305.67578125,313.15625,538.21875,265.625,405019.125
22,93.3203125,126.71875,1058.625,255.13671875,542.0078125,1371854.75,109.953125,129.28125,160.0625,153.6875,285.875,1561196.5,471.625,320.30078125,327.21875,551.90625,281.875,424656.28125
23,98.6015625,130.90625,1102.875,266.26171875,568.1328125,1438117.25,115.203125,134.875,167.90625,161.75,300.375,1635154.125,496.875,332.92578125,339.84375,572.28125,292.25,444319.6875
24,104.4765625,136.375,1155.125,278.76171875,594.2578125,1505675.125,120.453125,142.3125,174.03125,170.0,314.8125,1707800.875,522.125,347.23828125,355.59375,592.28125,303.3125,463815.3125
25,111.8203125,141.71875,1215.375,290.44921875,620.2578125,1573581.0,125.390625,148.4375,180.453125,178.375,329.5,1779972.75,541.5,362.42578125,369.15625,619.65625,314.75,483335.34375
26,114.5703125,147.15625,1260.625,302.26171875,648.0078125,1639745.875,130.546875,154.78125,187.859375,186.09375,343.25,1851842.375,566.875,378.23828125,387.40625,640.15625,328.0,502908.96875
27,119.7265625,151.84375,1301.625,317.32421875,671.1328125,1705978.125,135.109375,160.0625,196.84375,194.09375,355.0625,1923129.125,593.125,392.11328125,404.53125,664.03125,341.625,522371.40625
28,123.1484375,158.46875,1357.875,327.07421875,692.7578125,1773994.0,142.015625,165.90625,201.53125,199.5,359.75,1994391.875,603.9375,406.30078125,419.34375,689.40625,353.375,541801.125
29,126.8203125,165.28125,1412.375,335.07421875,714.5078125,1838804.875,148.328125,171.8125,206.8125,205.15625,362.75,2064930.75,615.4375,420.73828125,434.78125,711.90625,361.875,561391.875
30,130.7109375,170.09375,1459.375,349.19921875,740.3828125,1901030.375,153.328125,178.46875,213.5,212.15625,376.5625,2136624.5,637.8125,436.73828125,449.84375,738.78125,372.5,580932.4375
31,135.9609375,174.21875,1499.625,361.94921875,766.1328125,1963196.5,156.9375,183.21875,222.5625,219.6875,391.1875,2206447.5,662.0625,451.05078125,464.84375,763.28125,387.5,600355.25
32,141.3671875,179.34375,1538.375,374.19921875,790.2578125,2026914.875,161.25,185.5,228.96875,226.8125,405.3125,2277285.75,685.8125,466.61328125,479.03125,779.28125,392.53125,619871.375
33,145.0703125,186.125,1597.875,384.07421875,812.3828125,2092153.25,167.6875,191.625,233.90625,232.4375,408.5,2347479.25,697.9375,480.05078125,493.90625,802.40625,404.40625,639541.8125
34,151.9453125,191.25,1650.375,399.94921875,837.5078125,2155048.25,172.9375,196.5625,239.8125,239.5,423.75,2417394.5,722.1875,497.05078125,510.15625,832.40625,415.84375,659085.4375
35,155.3671875,197.875,1706.125,409.63671875,859.1328125,2217874.0,180.0,202.9375,245.28125,245.1875,428.0,2487072.0,733.3125,511.17578125,525.28125,857.15625,427.53125,678599.125
36,159.0234375,204.125,1762.625,417.82421875,881.5078125,2278309.25,186.5,207.8125,251.46875,250.78125,429.765625,2556124.5,745.5,523.92578125,539.90625,880.40625,438.21875,698263.375
37,162.6796875,210.375,1818.625,426.01171875,903.8828125,2336807.0,193.09375,213.0625,257.84375,256.59375,431.0,2625449.0,758.0625,536.67578125,554.90625,904.40625,448.84375,717882.5
38,168.5859375,214.625,1859.125,440.76171875,927.5078125,2393615.5,197.5625,219.5625,264.53125,263.8125,444.4375,2694813.5,782.0625,549.92578125,572.03125,930.53125,461.21875,737439.6875
39,170.1953125,219.40625,1899.625,451.76171875,955.1328125,2450771.5,202.375,226.28125,271.875,271.6875,459.1875,2764559.0,805.8125,564.80078125,588.78125,954.53125,475.15625,757049.0
40,176.6015625,224.21875,1949.875,462.69921875,979.8828125,2508742.75,207.5625,232.78125,279.34375,279.21875,471.9375,2834994.75,830.4375,579.86328125,603.03125,977.90625,486.46875,776745.5
41,180.1171875,231.3125,2007.125,471.94921875,1002.1328125,2567566.75,214.625,240.0,286.1875,285.5,476.40625,2905383.0,843.1875,593.42578125,618.34375,998.40625,497.40625,796287.25
42,187.2734375,234.875,2062.125,483.82421875,1027.8828125,2625370.5,220.15625,245.28125,292.96875,293.75,492.65625,2976294.0,866.4375,607.98828125,633.96875,1026.28125,509.96875,815922.5625
43,188.609375,239.625,2106.875,497.63671875,1055.1328125,2684808.5,224.625,249.40625,300.5,300.59375,504.71875,3047515.75,891.1875,621.92578125,650.21875,1050.40625,523.09375,835551.875
44,191.8125,244.375,2156.375,514.13671875,1079.1328125,2744137.25,230.4375,258.96875,307.0,308.90625,519.59375,3119973.5,912.4375,637.05078125,665.78125,1069.40625,536.96875,855171.5
45,196.34375,247.78125,2202.625,532.26171875,1104.0078125,2803680.5,235.65625,266.96875,313.5625,317.40625,535.46875,3191969.5,936.4375,651.73828125,680.71875,1092.03125,548.59375,874649.75
46,203.78125,253.40625,2242.875,544.82421875,1127.6328125,2865249.25,241.5,273.03125,320.6875,325.3125,549.84375,3264645.25,958.8125,666.30078125,694.71875,1113.53125,558.09375,894186.9375
47,205.71875,259.34375,2287.375,558.13671875,1153.3828125,2927176.5,246.5625,279.1875,328.0625,332.46875,563.40625,3336502.25,979.8125,680.80078125,712.46875,1141.28125,572.46875,913753.25
48,211.8125,265.3125,2338.625,569.63671875,1178.7578125,2989360.5,251.25,285.0625,334.53125,340.1875,578.71875,3410554.75,999.6875,696.73828125,726.21875,1167.53125,584.84375,933158.6875
