,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,556.0,36.25,111.0,21.75,40.25,184320.0,6.28125,27.75,24.625,17.0,26.5,207872.0,15.25,16.0,20.625,16.125,57.0,78848.0
2,506.0,264.0,286.0,136.0,169.0,215040.0,10.0625,27.5,48.5,49.5,198.0,167936.0,128.0,71.0,105.0,308.0,224.0,70656.0
3,484.0,278.0,284.0,186.0,139.0,198656.0,17.0,30.5,88.0,76.0,226.0,274432.0,326.0,130.0,120.0,276.0,248.0,108544.0
4,544.0,264.0,568.0,189.0,206.0,248832.0,17.25,50.5,84.0,80.0,360.0,356352.0,424.0,178.0,192.0,436.0,540.0,149504.0
5,684.0,480.0,648.0,274.0,206.0,329728.0,22.5,48.75,99.0,87.0,422.0,440320.0,438.0,221.0,266.0,668.0,628.0,187392.0
6,788.0,520.0,732.0,360.0,219.0,393216.0,30.125,57.0,153.0,115.0,440.0,536576.0,620.0,282.0,284.0,692.0,632.0,224256.0
7,928.0,506.0,1012.0,364.0,286.0,458752.0,30.375,88.5,148.0,124.5,576.0,622592.0,712.0,328.0,348.0,824.0,900.0,262144.0
8,1064.0,720.0,1104.0,448.0,292.0,536576.0,35.5,87.0,164.0,132.0,640.0,712704.0,728.0,368.0,420.0,1040.0,988.0,299008.0
9,1096.0,884.0,1000.0,552.0,235.0,606208.0,35.25,84.5,96.5,118.0,664.0,806912.0,696.0,388.0,414.0,976.0,1040.0,335872.0
10,1176.0,1120.0,1000.0,604.0,242.0,675840.0,39.25,102.0,111.5,134.0,688.0,901120.0,752.0,404.0,512.0,1184.0,1128.0,372736.0
11,1256.0,1416.0,948.0,676.0,206.0,745472.0,39.0,98.5,115.0,132.0,704.0,991232.0,640.0,364.0,532.0,1208.0,1048.0,409600.0
12,1296.0,1520.0,1096.0,776.0,214.0,831488.0,38.75,97.5,159.0,175.0,744.0,1073152.0,664.0,392.0,532.0,1160.0,1120.0,446464.0
13,1384.0,1728.0,1120.0,828.0,246.0,921600.0,43.75,120.0,159.0,180.0,780.0,1163264.0,736.0,420.0,640.0,1360.0,1216.0,483328.0
14,1472.0,1984.0,1440.0,896.0,280.0,1007616.0,50.25,128.0,207.0,213.0,804.0,1245184.0,700.0,444.0,656.0,1392.0,1152.0,518144.0
15,1632.0,2064.0,1696.0,996.0,336.0,1105920.0,62.5,131.0,272.0,254.0,848.0,1327104.0,752.0,448.0,656.0,1360.0,1232.0,552960.0
