,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,9.75,8.4375,24.375,7.46875,19.125,48591.21875,6.03125,10.4375,11.875,11.375,15.1875,58417.25,24.5,7.25,13.1875,13.125,14.4375,20248.828125
2,11.40625,14.46875,63.625,14.51171875,39.0,99790.6328125,10.875,13.703125,21.875,20.625,33.0625,118618.375,37.375,18.03125,20.9375,31.625,28.1875,38613.953125
3,15.75,20.78125,105.125,29.07421875,60.875,148578.328125,16.1875,19.078125,30.125,22.0859375,42.75,185730.875,54.75,31.4609375,29.6875,55.625,39.3125,57743.453125
4,21.71875,27.4375,149.125,37.44921875,79.0,193562.5,19.6875,23.515625,37.0625,28.7734375,55.9375,244427.0,68.0625,45.3359375,41.4375,81.375,57.0625,78138.171875
5,24.859375,33.125,190.875,50.32421875,99.375,244682.625,25.8125,27.75,47.375,36.7734375,72.0625,307700.5,78.4375,59.8984375,49.5,110.25,70.875,98139.296875
6,28.890625,39.375,232.375,65.32421875,121.375,292965.9375,31.375,33.75,57.875,40.734375,82.75,374396.625,95.4375,75.0859375,58.1875,135.5,82.125,117828.796875
7,33.6875,45.96875,277.125,73.82421875,138.75,340985.8125,34.828125,37.8125,64.4375,46.171875,96.125,438427.625,108.625,88.5859375,70.125,160.75,100.0,137951.171875
8,40.234375,51.625,319.125,86.69921875,159.125,390593.125,40.921875,42.75,74.3125,54.671875,111.9375,503815.75,118.9375,102.8984375,78.125,188.375,113.8125,157862.765625
9,44.265625,54.734375,367.375,102.63671875,175.625,439058.75,41.08203125,46.203125,83.6875,63.8515625,125.6875,571302.5,144.4375,112.2734375,88.9140625,211.125,126.125,177641.984375
10,49.078125,61.546875,412.375,120.38671875,193.7578125,491317.0,45.05078125,52.390625,89.90625,70.984375,139.125,640602.25,156.3125,126.5859375,98.1875,238.375,133.8125,197498.984375
11,52.515625,66.921875,454.875,131.82421875,215.1328125,544745.625,46.92578125,59.875,100.03125,83.8203125,154.75,706365.75,182.8125,136.4609375,109.7265625,257.25,147.875,217432.078125
12,56.546875,69.921875,503.125,147.82421875,238.8828125,607163.75,47.40234375,64.21875,109.40625,94.6953125,168.6875,769753.5,208.3125,146.1484375,125.2890625,281.125,160.25,237425.078125
13,61.359375,76.703125,547.625,165.82421875,260.7578125,670319.0,51.90234375,74.84375,115.28125,100.7578125,182.0,835711.125,220.3125,160.6484375,131.2578125,306.875,167.875,257488.984375
14,64.796875,81.984375,590.375,177.32421875,282.5078125,732321.0,54.87109375,82.6875,125.21875,113.8203125,197.875,899352.0,246.8125,170.6484375,146.3828125,325.75,181.625,277542.9375
15,68.828125,84.921875,638.875,193.32421875,306.2578125,799747.125,57.3671875,87.0625,134.46875,124.8203125,212.0625,961090.875,272.4375,180.5234375,161.9453125,349.125,194.25,297626.0625
